Name,Address,Suburb,Postcode,State,Business Category,Region,latitude,longitude
U3A (Mildura) Bridge Club,Bonnie Doon Road,Monak,2738,VIC,Recreation Group,Monak,-34.18,142.22
George Tindale Memorial Gardens,Melbourne,Melbourne,3000,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.81,144.97
Herring Island Environmental Sculpture Park,Yarra River,Melbourne,3000,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.81,144.97
Port Phillip,Melbourne,Melbourne,3000,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.81,144.97
Yarra River,Melbourne,Melbourne,3000,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.81,144.97
ARPA Over 50s Assocation Ltd,"2nd Floor, Block Court",Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Bakpak Group,18 Anthony Street,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Craft Victoria,31 Flinders Lane,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
International Exchange Programs,"Level 3, 362 La Trobe Street",Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Skate Warehouse,345 Lonsdale Street,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
L.I.F.E - Leaders in Fitness Education for Older Adults,C/o Cota,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Parks Victoria,"Level 10, 535 Bourke Street",Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Rentabike and Real Melbourne Bike Tours,Docklands Drive,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Kids Under Kanvas,148 Lonsdale Street,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Council on the Ageing,"4th Floor, Block Arcade",Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Melbourne City Baths,420 Swanston Street,Melbourne,3000,VIC,Swimming Pool,North and West Metropolitan Region,-37.81,144.97
Deaf Sports Recreation Victoria,"Level 3, 340 Albert Street",East Melbourne,3002,VIC,Recreation Group,North and West Metropolitan Region,-37.82,144.99
Wonderland Park in Docklands,Docklands,Docklands,3008,VIC,Iceskating,North and West Metropolitan Region,-37.81,144.95
Stingrays AUSSI Masters,Footscray Swimming Centre,Footscray,3011,VIC,Swimming Club,North and West Metropolitan Region,-37.8,144.9
Stony Creek Backwash,Hyde Street,Yarraville,3013,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.82,144.89
Family Cruising Club of Victoria Inc,292 Douglas Parade,Newport,3015,VIC,Recreation Group,North and West Metropolitan Region,-37.84,144.88
Latinlover,PO Box 1038,Newport,3015,VIC,Recreation Group,North and West Metropolitan Region,-37.84,144.88
Jawbone Flora and Fauna Reserve,Williamstown,Williamstown,3016,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.86,144.9
Jawbone Marine Sanctuary,Williamstown,Williamstown,3016,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.86,144.9
Point Gellibrand Coastal Heritage Park,Kororoit Creek Road,Williamstown,3016,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.86,144.9
Williamstown Little Athletics Centre,Newport Park,Newport,3016,VIC,Little Athletics Club,North and West Metropolitan Region,-37.86,144.9
Altona Little Athletics Centre,Sugar Gum Drive,Altona,3018,VIC,Little Athletics Club,North and West Metropolitan Region,-37.87,144.83
Life Activities Club - Hobsons Bay,Altona,Altona,3018,VIC,Recreation Group,North and West Metropolitan Region,-37.87,144.83
Western Alligators AUSSI Masters,Altona Swim & Fitness Centre,Altona,3018,VIC,Swimming Club,North and West Metropolitan Region,-37.87,144.83
Sunshine Police Youth & Citizens Club,52a Sun Crescent,Sunshine,3020,VIC,Recreation Group,North and West Metropolitan Region,-37.78,144.82
Sunshine Swimming Club,Service Street,Sunshine,3020,VIC,Swimming Club,North and West Metropolitan Region,-37.78,144.82
Sunshine Leisure Centre,5 Kennedy Street,Sunshine,3020,VIC,Swimming Pool,North and West Metropolitan Region,-37.78,144.82
Brimbank School Services,c/o Brimbank Youth Services,St Albans,3021,VIC,Recreation Group,North and West Metropolitan Region,-37.75,144.77
Brimbank YMCA Youth Services,90 Taylors Rd,St Albans,3021,VIC,Recreation Group,North and West Metropolitan Region,-37.75,144.77
St Albans Leisure Centre,Taylors Road,St Albans,3021,VIC,Swimming Pool,North and West Metropolitan Region,-37.75,144.77
Brimbank Little Athletics Centre,Sassella Park,Deer Park,3023,VIC,Little Athletics Club,North and West Metropolitan Region,-37.75,144.75
Hoppers Crossing AUSSI Masters,Laverton Fitness Centre,Laverton,3028,VIC,Swimming Club,North and West Metropolitan Region,-37.87,144.78
Wyndham Leisure & Events Centre,80 Derrimut Road,Hoppers Crossing,3029,VIC,Swimming Pool,North and West Metropolitan Region,-37.88,144.7
Brisbane Ranges National Park,80km west of Melbourne,Werribee,3030,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.97,144.58
Cheetham Wetlands,Point Cook,Point Cook,3030,VIC,Park/Garden/Reserve,Point Cook,-37.97,144.58
Point Cook Coastal Park,Point Cook,Point Cook,3030,VIC,Park/Garden/Reserve,Point Cook,-37.97,144.58
Point Cooke Marine Sanctuary,Point Cook,Point Cook,3030,VIC,Park/Garden/Reserve,Point Cook,-37.97,144.58
Werribee Park,Werribee,Werribee,3030,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.97,144.58
Werribee Little Athletics Club,VU & Wyndham Sporting Complex,Hoppers Crossing,3030,VIC,Little Athletics Club,North and West Metropolitan Region,-37.97,144.58
"The Centre for Mind, Body & Spirit",11 Princes Highway,Werribee,3030,VIC,Recreation Group,North and West Metropolitan Region,-37.97,144.58
Werribee Park National Equestrian Centre Inc,K-Road,Werribee,3030,VIC,Recreation Group,North and West Metropolitan Region,-37.97,144.58
Werribee Bushwalking & Outdoor Club,PO Box 233,Werribee,3030,VIC,Recreation Group,North and West Metropolitan Region,-37.97,144.58
Werribee Swimming Club,PO Box 250,Werribee,3030,VIC,Swimming Club,North and West Metropolitan Region,-37.97,144.58
Werribee Heated Olympic Outdoor Pool,Watton Street,Werribee,3030,VIC,Swimming Pool,North and West Metropolitan Region,-37.97,144.58
Kensington Community Recreation Centre,Cnr Kensington Road and Altona Street,Kensington,3031,VIC,Swimming Pool,North and West Metropolitan Region,-37.79,144.93
Maribyrnong River,Maribyrnong,Maribyrnong,3032,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.78,144.92
Pipemakers Park,Enter from Gordon Street,Maribyrnong,3032,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.78,144.92
Ascot Vale Leisure Centre,Cnr Langs and Epsom Roads,Ascot Vale,3032,VIC,Swimming Pool,North and West Metropolitan Region,-37.78,144.92
Maribyrnong Aquatic Centre,1 Aquatic Drive,Maribyrnong,3032,VIC,Swimming Pool,North and West Metropolitan Region,-37.78,144.92
Brimbank Park,Keilor East,Keilor East,3033,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.74,144.8
East Keilor Leisure Centre,Quinn Grove,Keilor East,3033,VIC,Swimming Pool,North and West Metropolitan Region,-37.74,144.8
Horseshoe Bend Farm,Keilor,Keilor,3036,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.72,144.83
Organ Pipes National Park,Keilor,Keilor,3036,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.72,144.83
Life Activities Club - Keilor,Keilor,Keilor,3036,VIC,Recreation Group,North and West Metropolitan Region,-37.72,144.83
Keilor Little Athletics Club,Keilor Park Athletics Track,Keilor Park,3038,VIC,Little Athletics Club,North and West Metropolitan Region,-37.73,144.81
Essendon Little Athletics Centre,Moonee Valley Athletics Track,Moonee Ponds,3039,VIC,Little Athletics Club,North and West Metropolitan Region,-37.77,144.92
Queens Park Swimming Pool,Cnr Pascoe Vale Road & The Strand,Moonee Ponds,3039,VIC,Swimming Pool,North and West Metropolitan Region,-37.77,144.92
Essendon Bridge Club,PO Box 143,Essendon,3040,VIC,Recreation Group,North and West Metropolitan Region,-37.76,144.9
Northern Bridge Club,7/89 Tennyson Street,Essendon,3040,VIC,Recreation Group,North and West Metropolitan Region,-37.76,144.9
Life Activities Club - Moonee Valley,PO Box 516,Essendon,3040,VIC,Recreation Group,North and West Metropolitan Region,-37.76,144.9
Brahma Kumaris Raja Yoga Centre - Essendon,"1st Floor, 1059 Mt Alexander Road",Essendon,3040,VIC,Recreation Group,North and West Metropolitan Region,-37.76,144.9
Seymour's Swim School,23 Graves Street,Essendon,3040,VIC,Swimming Club,North and West Metropolitan Region,-37.76,144.9
Windy Hill Fitness Centre,74 - 84 Napier Street,Essendon,3040,VIC,Swimming Pool,North and West Metropolitan Region,-37.76,144.9
Balloon Association of Victoria,PO Box 125,Essendon,3041,VIC,Recreation Group,North and West Metropolitan Region,-37.74,144.91
Australian Plant Society Keilor Plains,St Philips Uniting Church Hall,Airport West,3042,VIC,Gardening Club,North and West Metropolitan Region,-37.71,144.89
Oak Park Aquatic Centre,Cnr Main Street & Pascoe Vale Roads,Pascoe Vale,3044,VIC,Swimming Pool,North and West Metropolitan Region,-37.73,144.94
Pascoe Vale Outdoor Swimming Pool,Prospect Street,Pascoe Vale,3044,VIC,Swimming Pool,North and West Metropolitan Region,-37.73,144.94
Broadmeadows and District Garden Club,Wiseman House,Glenroy,3046,VIC,Gardening Club,North and West Metropolitan Region,-37.7,144.92
Australian Cartophilic Society Inc,35 Victoria Street,Oak Park,3046,VIC,Recreation Group,North and West Metropolitan Region,-37.7,144.92
Broadmeadows Swimming Clubs,PO Box 605,Glenroy,3046,VIC,Swimming Club,North and West Metropolitan Region,-37.7,144.92
Hume Little Athletics,Laura Douglas Reserve,Upfield,3047,VIC,Little Athletics Club,Upfield,-37.68,144.92
Broadmeadows Swimming Centre,Goulburn Street,Broadmeadows,3047,VIC ,Swimming Pool,North and West Metropolitan Region,-37.68,144.92
Broadmeadows Leisure Centre,Cnr Pearcedale Parade and Dimboola Road,Broadmeadows,3047,VIC,Swimming Pool,North and West Metropolitan Region,-37.68,144.92
Dining and activity network,5/5 Elm Street,North Melbourne,3051,VIC,Recreation Group,North and West Metropolitan Region,-37.91,145.06
Handweavers and  Spinners Guild of Victoria Inc,42 Courtney Street,North Melbourne,3051,VIC,Recreation Group,North and West Metropolitan Region,-37.91,145.06
North Melbourne Pool,Cnr Macaulay Road & Arden Street,North Melbourne,3051,VIC,Swimming Pool,North and West Metropolitan Region,-37.91,145.06
Melbourne Zoo,PO Box 74,Parkville,3052,VIC,Recreation Group,North and West Metropolitan Region,-37.8,144.96
Urban Camp Royal Park,"Brens Drive, PO Box 51",Parkville,3052,VIC,Recreation Group,North and West Metropolitan Region,-37.8,144.96
Carlton/Parkville Youth Services,Carlton,Carlton,3053,VIC,Recreation Group,North and West Metropolitan Region,-37.78,144.97
Carlton Baths Community Centre,248 Rathdowne Street,Carlton,3053,VIC,Swimming Pool,North and West Metropolitan Region,-37.78,144.97
Billiards and Snooker Association,17 Cliff Street,Brunswick,3056,VIC,Recreation Group,North and West Metropolitan Region,-37.76,144.94
Brunswick City Baths,14 Dawson Street,Brunswick,3056,VIC,Swimming Pool,North and West Metropolitan Region,-37.76,144.94
Coburg Little Athletics,Harold Stevens Athletics Track,Coburg,3058,VIC,Little Athletics Club,North and West Metropolitan Region,-37.73,144.96
Australian Camps Association,Locked Bag 2000,Coburg,3058,VIC,Recreation Group,North and West Metropolitan Region,-37.73,144.96
Coburg Olympic Outdoor Pool,Murray Road,Coburg,3058,VIC,Swimming Pool,North and West Metropolitan Region,-37.73,144.96
Coburg Outdoor Pool,Coburg,Coburg,3058,VIC,Swimming Pool,North and West Metropolitan Region,-37.73,144.96
Coburg Leisure Centre,Bridges Reserve,Coburg,3058,VIC,Swimming Pool,North and West Metropolitan Region,-37.73,144.96
Greenvale Reservoir Park,Greenvale,Greenvale,3059,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.64,144.89
Fawkner Little Athletics,Charles Mutton Reserve,Fawkner,3060,VIC,Little Athletics Club,North and West Metropolitan Region,-37.76,144.9
Fawkner Leisure Centre,79 - 83 Jukes Road,Fawkner,3060,VIC,Swimming Pool,North and West Metropolitan Region,-37.76,144.9
Craigieburn Amateur Swimming Club Inc,PO Box 347,Craigieburn,3064,VIC,Swimming Club,North and West Metropolitan Region,-37.6,144.94
State Swim Craigieburn,87 Grand Boulevard,Craigieburn,3064,VIC,Swimming Pool,North and West Metropolitan Region,-37.6,144.94
Wheelchair Sports Victoria - Swimming,341 George Street,Fitzroy,3065,VIC,Swimming Pool,North and West Metropolitan Region,-37.8,144.98
Fitzroy Swimming Pool,Alexandra Parade,Fitzroy,3065,VIC,Swimming Pool,North and West Metropolitan Region,-37.8,144.98
Navigatorís Daughters,Base Studio,Collingwood,3066,VIC,Recreation Group,North and West Metropolitan Region,-37.8,144.98
The Duke of Edinburgh's Award,73-77 Wellington Street,Collingwood,3066,VIC,Recreation Group,North and West Metropolitan Region,-37.8,144.98
Topbike Tours,PO Box 1717,Collingwood,3066,VIC,Recreation Group,North and West Metropolitan Region,-37.8,144.98
Collingwood Little Athletics Club,George Knott Athletic Field,Clifton Hill,3068,VIC,Little Athletics Club,North and West Metropolitan Region,-37.79,144.99
Sports and Physical Activity Project,179 High Street,Northcote,3070,VIC,Recreation Group,North and West Metropolitan Region,-37.77,145
Northcote Swimming and Lifesaving Club,Northcote Aquatic and Recreation Centre,Northcote,3070,VIC,Swimming Club,North and West Metropolitan Region,-37.77,145
Northcote Aquatic and Recreation Centre,180 Victoria Road,Northcote,3070,VIC,Swimming Pool,North and West Metropolitan Region,-37.77,145
Preston/Reservoir Little Athletics,Edwardes Park Lake,Reservoir,3073,VIC,Little Athletics Club,North and West Metropolitan Region,-37.69,145.01
Life Activities Club Darebin,PO Box 510,Reservoir,3073,VIC,Recreation Group,North and West Metropolitan Region,-37.69,145.01
Whittlesea City Little Athletics Centre,Meadowglen Athletics Stadium,Epping,3074,VIC,Little Athletics Club,North and West Metropolitan Region,-37.68,145.01
Northern Stars Little Athletics Club,"Meadowglen International Athletics Stadium,",Epping,3076,VIC,Little Athletics Club,North and West Metropolitan Region,-37.64,145.01
Leisure City Dolphins,Miller Street,Epping,3076,VIC,Swimming Club,North and West Metropolitan Region,-37.64,145.01
Leisure City Aquatics,Miller Street,Epping,3076,VIC,Swimming Pool,North and West Metropolitan Region,-37.64,145.01
Alphington Bridge Club,102 Yarralea Street,Alphington,3078,VIC,Recreation Group,North and West Metropolitan Region,-37.78,145.03
Yarra Flats,The Boulevard,Ivanhoe East,3079,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.77,145.04
Ivanhoe Aqua Power Swimming Club,123 Upper Heidelberg Street,Ivanhoe,3079,VIC,Swimming Club,North and West Metropolitan Region,-37.77,145.04
Northcote Yabbies AUSSI Masters,Ivanhoe Grammer School ,Ivanhoe,3079,VIC,Swimming Club,North and West Metropolitan Region,-37.77,145.04
Ivanhoe Aquatic & Fitness Centre,170 Waterdale Road,Ivanhoe,3079,VIC,Swimming Pool,North and West Metropolitan Region,-37.77,145.04
Olympic Leisure Centre,15 Alamein Road,Heidelberg West,3081,VIC,Swimming Pool,North and West Metropolitan Region,-37.75,145.05
Mill Park Garden Club,50 Mill Park Drive,Mill Park,3082,VIC,Gardening Club,North and West Metropolitan Region,-37.67,145.06
Aquastyle,5 Mill Park Drive,Mill Park,3082,VIC,Swimming Pool,North and West Metropolitan Region,-37.67,145.06
Aquastyle,5 Development Boulevard,Mill Park,3082,VIC,Swimming Pool,North and West Metropolitan Region,-37.67,145.06
Whittlesea YMCA,Morang Drive,Mill Park,3082,VIC,Swimming Pool,North and West Metropolitan Region,-37.67,145.06
RMIT Union Sport and Recreation (Bundoora),Bundoora,Bundoora,3083,VIC,Recreation Group,North and West Metropolitan Region,-37.7,145.07
Aquabear AUSSI Masters,La Trobe University Sports Centre,Bundoora,3083,VIC,Swimming Club,North and West Metropolitan Region,-37.7,145.07
Bundoora Torpedoes Swim Club,Bundoora,Bundoora,3083,VIC,Swimming Club,North and West Metropolitan Region,-37.7,145.07
Life Activities Club Heidelberg,PO Box 245,Rosanna,3084,VIC,Recreation Group,North and West Metropolitan Region,-37.74,145.09
Heidelberg Flyers AUSSI Masters,Heidelberg Aquatic Centre,Heidelberg,3084,VIC,Swimming Club,North and West Metropolitan Region,-37.74,145.09
Life Activities Club Heidelberg,PO Box 245,Rosanna,3084,VIC,Swimming Pool,North and West Metropolitan Region,-37.74,145.09
Diamond Valley Little Athletics,Willinda Park Athletics Track,Greensborough,3088,VIC,Little Athletics Club,North and West Metropolitan Region,-37.71,145.12
Yarra Plenty Swimming Club Inc,Liat Way (off Sainsbury Avenue),Greensborough,3088,VIC,Swimming Club,North and West Metropolitan Region,-37.71,145.12
Yarra Swim School,Liat Way (off Sainsbury Avenue),Greensborough,3088,VIC,Swimming Club,North and West Metropolitan Region,-37.71,145.12
Diamond Valley Swimming Club,Flintoff Street,Greensbourgh,3088,VIC,Swimming Club,North and West Metropolitan Region,-37.71,145.12
Briar Hill Swimming Pool Centre,"Shop 5, 111 Mountain View Road",Briar Hill,3088,VIC,Swimming Pool,North and West Metropolitan Region,-37.71,145.12
Greensborough Swimming Pool,Flintoff Street,Greensborough,3088,VIC,Swimming Pool,North and West Metropolitan Region,-37.71,145.12
Diamond Creek Swimming Pool,1 Elizabeth Street,Diamond Creek,3089,VIC,Swimming Pool,North and West Metropolitan Region,-37.64,145.22
Yellow Gum Park,Goldsworthy Lane,Plenty,3090,VIC,Park/Garden/Reserve,Plenty,-37.67,145.12
Yarrambat Park,Yan Yean Road,Yarrambat,3091,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.64,145.13
Eltham Bridge Club,90 Bonds Road,Lower Plenty,3093,VIC,Recreation Group,North and West Metropolitan Region,-37.73,145.09
Australian Skydiving Association,87 Mountain View Road,Montmorency,3094,VIC,Recreation Group,North and West Metropolitan Region,-37.72,145.12
Sweeneys Flat,Eltham,Eltham,3095,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.71,145.15
Australian Plant Society Yarra Yarra,PO Box 298,Eltham,3095,VIC,Gardening Club,North and West Metropolitan Region,-37.71,145.15
Eltham Swimming School,1441 Main Road,Eltham North,3095,VIC,Swimming Club,North and West Metropolitan Region,-37.71,145.15
Eltham Leisure Centre,40 Brougham Street,Eltham,3095,VIC,Swimming Pool,North and West Metropolitan Region,-37.71,145.15
Yarra Bend Park,Studley Park Road,Kew,3101,VIC,Park/Garden/Reserve,Eastern Metro,-37.81,145.04
Kew Little Athletics Club,Stradbroke Park,Kew,3101,VIC,Little Athletics Club,Eastern Metropolitan Region,-37.81,145.04
Hand Tool Preservation Association of Australia Inc,21 Adeney Avenue,Kew,3101,VIC,Recreation Group,Eastern Metro,-37.81,145.04
Liu's School of Wushu,53 Glaston Street,Kew,3101,VIC,Recreation Group,Eastern Metro,-37.81,145.04
Melbourne Contract Bridge Centre,30 Cotham Road,Kew,3101,VIC,Recreation Group,Eastern Metro,-37.81,145.04
Kew Recreation Centre,383 High Street,Kew,3101,VIC,Swimming Pool,Eastern Metropolitan Region,-37.81,145.04
Camp Australia Pty Ltd,782 High Street,Kew East,3102,VIC,Recreation Group,Eastern Metro,-37.8,145.05
Bocce Federation of Australia,PO Box 353,Kew East,3102,VIC,Recreation Group,Eastern Metropolitan Region,-37.8,145.05
Camp America,288A Whitehorse Road,Balwyn,3103,VIC,Recreation Group,Eastern Metro,-37.81,145.08
Life Activities Club - Balwyn,PO Box 318,Balwyn North,3104,VIC,Gardening Club,Eastern Metropolitan Region,-37.79,145.07
Life Activities Club - Balwyn,PO Box 318,Balwyn North,3104,VIC,Recreation Group,Eastern Metropolitan Region,-37.79,145.07
Banksia Park,Templestowe Road,Bulleen,3105,VIC,Park/Garden/Reserve,Eastern Metro,-37.77,145.08
Bullen Swim Centre,156 Bullen Road,Bulleen,3105,VIC ,Swimming Pool,Eastern Metropolitan Region,-37.77,145.08
Pettys Orchard,Corner of Monckton & Homestead Roads,Templestowe,3106,VIC,Park/Garden/Reserve,Eastern Metro,-37.77,145.12
Westerfolds Park,Fitzsimons Lane,Templestowe,3106,VIC,Park/Garden/Reserve,Eastern Metro,-37.77,145.12
Outdoor Recreation Centre Victoria,"Recreation House, Westerfolds Park",Templestowe,3106,VIC,Recreation Group,Eastern Metropolitan Region,-37.77,145.12
Templestowe Swimming School,2 Swilk Street,Templestowe,3106,VIC,Swimming Pool,Eastern Metro,-37.77,145.12
Manningham Youth and Family Services,808 Doncaster Road,Doncaster,3108,VIC,Recreation Group,Eastern Metro,-37.78,145.12
Life Activities Club - Manningham,Doncaster,Doncaster,3108,VIC,Recreation Group,Eastern Metropolitan Region,-37.78,145.12
Doncaster Templestowe Amateur Swim Club (DTASC),Aquarena,Doncaster,3108,VIC,Swimming Club,Eastern Metro,-37.78,145.12
Aquarena Aquatic & Leisure Centre,139-153  Williamsons Road,Doncaster,3108,VIC,Swimming Pool,Eastern Metropolitan Region,-37.78,145.12
Doncaster Garden Club,PO Box 4002,Doncaster Heights,3109,VIC,Gardening Club,Eastern Metro,-37.81,145.19
National Dahlia Society of Victoria,10 Murphy Road,Doncaster East,3109,VIC,Gardening Club,Eastern Metropolitan Region,-37.81,145.19
Candlebark Park,Warrandyte,Warrandyte,3113,VIC,Park/Garden/Reserve,Eastern Metro,-37.73,145.22
Longridge Park Camp,Warrandyte,Warrandyte,3113,VIC,Park/Garden/Reserve,Eastern Metro,-37.73,145.22
Warrandyte State Park,Warrandyte,Warrandyte,3113,VIC,Park/Garden/Reserve,Eastern Metro,-37.73,145.22
Friends of Burnley Gardens,"C/ Burnely Campus, The University of Melbourne",Richmond,3121,VIC,Gardening Club,North and West Metropolitan Region,-37.83,145.01
Connection Social Links Inc,PO Box 376,Richmond,3121,VIC,Recreation Group,North and West Metropolitan Region,-37.83,145.01
Tivoli Ski Club Inc.,PO Box 1009,Richmond North,3121,VIC,Recreation Group,North and West Metropolitan Region,-37.83,145.01
Yarra Roughies AUSSI Masters,Richmond Aquatic Centre,Richmond,3121,VIC,Swimming Club,North and West Metropolitan Region,-37.83,145.01
Richmond Swimming Pool,Gleadall Street,Richmond,3121,VIC ,Swimming Pool,North and West Metropolitan Region,-37.83,145.01
Richmond Football Club Swimming Pool,Yarra Park,Richmond,3121,VIC,Swimming Pool,North and West Metropolitan Region,-37.83,145.01
Life Classes,Hawthorn,Hawthorn,3122,VIC,Recreation Group,Eastern Metro,-37.84,145.05
Swinburne University Short Courses - Hawthorn,Hawthorn Campus,Hawthorn,3122,VIC,Recreation Group,Eastern Metro,-37.84,145.05
Hawthorn Aquatic & Leisure Centre,Linda Crescent,Hawthorn,3122,VIC,Swimming Pool,Eastern Metropolitan Region,-37.84,145.05
Birds Australia,415 Riversdale Road,Hawthorn East,3123,VIC,Recreation Group,Eastern Metro,-37.83,145.04
